 �bitos infantis - Brasil
�bitos p/Resid�nc por Munic�pio
Per�odo:2022
"Munic�pio";"�bitos_p/Resid�nc"
"292230 MURITIBA";3
"292240 MUTUIPE";1
"292250 NAZARE";3
"292260 NILO PECANHA";2
"292265 NORDESTINA";1
"292270 NOVA CANAA";3
"292273 NOVA FATIMA";1
"292285 NOVA REDENCAO";2
"292290 NOVA SOURE";8
"292300 NOVA VICOSA";6
"292303 NOVO HORIZONTE";2
"292310 OLINDINA";2
"292320 OLIVEIRA DOS BREJINHOS";1
"292335 OUROLANDIA";2
"292340 PALMAS DE MONTE ALTO";3
"292350 PALMEIRAS";4
"292360 PARAMIRIM";3
"292370 PARATINGA";12
"292380 PARIPIRANGA";5
"292390 PAU BRASIL";4
"292400 PAULO AFONSO";18
"292405 PE DE SERRA";1
"292420 PEDRO ALEXANDRE";5
"292430 PIATA";8
"292440 PILAO ARCADO";7
"292450 PINDAI";3
"292460 PINDOBACU";2
"292465 PINTADAS";1
"292467 PIRAI DO NORTE";1
"292480 PIRITIBA";2
"292500 PLANALTO";3
"292510 POCOES";6
"292520 POJUCA";6
"292525 PONTO NOVO";5
"292530 PORTO SEGURO";37
"292540 POTIRAGUA";1
"292550 PRADO";7
"292560 PRESIDENTE DUTRA";2
"292570 PRESIDENTE JANIO QUADROS";5
"292575 PRESIDENTE TANCREDO NEVES";4
"292580 QUEIMADAS";5
"292590 QUIJINGUE";6
"292593 QUIXABEIRA";2
"292600 REMANSO";7
"292610 RETIROLANDIA";2
"292620 RIACHAO DAS NEVES";6
"292630 RIACHAO DO JACUIPE";4
"292640 RIACHO DE SANTANA";1
"292650 RIBEIRA DO AMPARO";2
"292660 RIBEIRA DO POMBAL";14
"292665 RIBEIRAO DO LARGO";1
"292670 RIO DE CONTAS";3
"292680 RIO DO ANTONIO";3
"292690 RIO DO PIRES";3
"292700 RIO REAL";9
"292710 RODELAS";3
"292720 RUY BARBOSA";4
"292730 SALINAS DA MARGARIDA";5
"292740 SALVADOR";466
"292750 SANTA BARBARA";5
"292760 SANTA BRIGIDA";4
"292770 SANTA CRUZ CABRALIA";6
"292780 SANTA CRUZ DA VITORIA";1
"292790 SANTA INES";3
"292800 SANTALUZ";7
"292805 SANTA LUZIA";2
"292810 SANTA MARIA DA VITORIA";10
"292820 SANTANA";3
"292840 SANTA RITA DE CASSIA";6
"292850 SANTA TEREZINHA";1
"292860 SANTO AMARO";9
"292870 SANTO ANTONIO DE JESUS";21
"292880 SANTO ESTEVAO";7
"292890 SAO DESIDERIO";7
"292895 SAO DOMINGOS";2
"292900 SAO FELIX";4
"292905 SAO FELIX DO CORIBE";4
"292910 SAO FELIPE";4
"292920 SAO FRANCISCO DO CONDE";8
"292925 SAO GABRIEL";1
"292930 SAO GONCALO DOS CAMPOS";3
"292937 SAO JOSE DO JACUIPE";1
"292940 SAO MIGUEL DAS MATAS";1
"292950 SAO SEBASTIAO DO PASSE";6
"292960 SAPEACU";1
"292970 SATIRO DIAS";5
"292975 SAUBARA";2
"292990 SEABRA";11
"293000 SEBASTIAO LARANJEIRAS";2
"293010 SENHOR DO BONFIM";17
"293015 SERRA DO RAMALHO";6
"293020 SENTO SE";6
"293030 SERRA DOURADA";6
"293050 SERRINHA";14
"293060 SERROLANDIA";2
"293070 SIMOES FILHO";25
"293075 SITIO DO MATO";2
"293076 SITIO DO QUINTO";2
"293077 SOBRADINHO";10
"293080 SOUTO SOARES";8
"293090 TABOCAS DO BREJO VELHO";3
"293100 TANHACU";6
"293105 TANQUE NOVO";2
"293120 TAPEROA";3
"293135 TEIXEIRA DE FREITAS";28
"293150 TEOFILANDIA";4
"293160 TEOLANDIA";5
"293170 TERRA NOVA";5
"293180 TREMEDAL";2
"293190 TUCANO";8
"293200 UAUA";5
"293210 UBAIRA";5
"293220 UBAITABA";9
"293230 UBATA";3
"293245 UMBURANAS";5
"293250 UNA";4
"293260 URANDI";3
"293270 URUCUCA";3
"293280 UTINGA";3
"293290 VALENCA";25
"293300 VALENTE";4
"293305 VARZEA DA ROCA";4
"293315 VARZEA NOVA";4
"293320 VERA CRUZ";6
"293325 VEREDA";3
"293330 VITORIA DA CONQUISTA";78
"293350 WENCESLAU GUIMARAES";4
"293360 XIQUE-XIQUE";18
" MUNICIPIO IGNORADO - MG";1
"310010 ABADIA DOS DOURADOS";2
"310020 ABAETE";3
"310030 ABRE CAMPO";3
"310060 AGUA BOA";1
"310090 AGUAS FORMOSAS";3
"310110 AIMORES";5
"310120 AIURUOCA";1
"310150 ALEM PARAIBA";6
"310160 ALFENAS";12
"310163 ALFREDO VASCONCELOS";1
"310170 ALMENARA";6
"310180 ALPERCATA";1
"310190 ALPINOPOLIS";7
"310200 ALTEROSA";3
"310210 ALTO RIO DOCE";1
"310230 ALVINOPOLIS";1
"310240 ALVORADA DE MINAS";1
"310250 AMPARO DO SERRA";1
"310260 ANDRADAS";3
"310280 ANDRELANDIA";1
"310285 ANGELANDIA";1
"310300 ANTONIO DIAS";1
"310340 ARACUAI";2
"310350 ARAGUARI";15
"310360 ARANTINA";1
"310370 ARAPONGA";1
"310375 ARAPORA";4
"310390 ARAUJOS";1
"310400 ARAXA";12
"310410 ARCEBURGO";2
"310420 ARCOS";5
"310430 AREADO";3
"310450 ARINOS";2
"310460 ASTOLFO DUTRA";2
"310470 ATALEIA";1
"310490 BAEPENDI";2
"310510 BAMBUI";3
"310520 BANDEIRA";1
"310530 BANDEIRA DO SUL";1
"310540 BARAO DE COCAIS";3
"310560 BARBACENA";14
"310570 BARRA LONGA";1
"310590 BARROSO";2
"310600 BELA VISTA DE MINAS";2
"310620 BELO HORIZONTE";227
"310630 BELO ORIENTE";4
"310650 BERILO";2
"310660 BERTOPOLIS";5
"310670 BETIM";69
"310680 BIAS FORTES";1
"310690 BICAS";1
"310710 BOA ESPERANCA";7
"310730 BOCAIUVA";11
"310740 BOM DESPACHO";6
"310750 BOM JARDIM DE MINAS";1
"310780 BOM JESUS DO GALHO";3
"310790 BOM REPOUSO";1
"310800 BOM SUCESSO";1
"310840 BOTELHOS";5
"310855 BRASILANDIA DE MINAS";5
"310860 BRASILIA DE MINAS";3
"310870 BRAS PIRES";2
"310890 BRAZOPOLIS";2
"310900 BRUMADINHO";2
"310910 BUENO BRANDAO";1
"310920 BUENOPOLIS";1
"310930 BURITIS";1
"310940 BURITIZEIRO";4
"310950 CABO VERDE";1
"310970 CACHOEIRA DE MINAS";1
"311000 CAETE";7
"311010 CAIANA";1
"311050 CAMANDUCAIA";3
"311060 CAMBUI";5
"311090 CAMPANHA";2
"311100 CAMPESTRE";6
"311110 CAMPINA VERDE";1
"311120 CAMPO BELO";5
"311130 CAMPO DO MEIO";1
"311140 CAMPO FLORIDO";1
"311150 CAMPOS ALTOS";3
"311160 CAMPOS GERAIS";3
"311180 CANAPOLIS";1
"311200 CANDEIAS";2
"311205 CANTAGALO";1
"311230 CAPELINHA";3
"311240 CAPETINGA";2
"311250 CAPIM BRANCO";1
"311260 CAPINOPOLIS";2
"311265 CAPITAO ANDRADE";1
"311270 CAPITAO ENEAS";5
"311280 CAPITOLIO";2
"311290 CAPUTIRA";3
"311300 CARAI";1
"311310 CARANAIBA";1
"311320 CARANDAI";4
"311330 CARANGOLA";5
"311340 CARATINGA";23
"311360 CAREACU";1
"311370 CARLOS CHAGAS";1
"311390 CARMO DA CACHOEIRA";1
"311410 CARMO DE MINAS";2
"311420 CARMO DO CAJURU";6
"311430 CARMO DO PARANAIBA";3
"311440 CARMO DO RIO CLARO";5
"311450 CARMOPOLIS DE MINAS";2
"311490 CASA GRANDE";1
"311510 CASSIA";6
"311530 CATAGUASES";9
"311545 CATUJI";4
"311550 CAXAMBU";1
"311560 CEDRO DO ABAETE";1
"311570 CENTRAL DE MINAS";1
"311580 CENTRALINA";2
"311610 CHAPADA DO NORTE";2
"311615 CHAPADA GAUCHA";6
"311630 CIPOTANEA";1
"311660 CLAUDIO";4
"311730 CONCEICAO DAS ALAGOAS";2
"311750 CONCEICAO DO MATO DENTRO";2
"311770 CONCEICAO DO RIO VERDE";2
"311780 CONCEICAO DOS OUROS";1
"311783 CONEGO MARINHO";1
"311790 CONGONHAL";2
"311800 CONGONHAS";11
"311810 CONGONHAS DO NORTE";1
"311820 CONQUISTA";1
"311830 CONSELHEIRO LAFAIETE";20
"311840 CONSELHEIRO PENA";2
"311860 CONTAGEM";76
"311880 CORACAO DE JESUS";4
"311890 CORDISBURGO";1
"311900 CORDISLANDIA";1
"311910 CORINTO";1
"311930 COROMANDEL";3
"311940 CORONEL FABRICIANO";11
"311960 CORONEL PACHECO";1
"312000 CORREGO NOVO";1
"312010 COUTO DE MAGALHAES DE MINAS";1
"312020 CRISTAIS";1
"312030 CRISTALIA";1
"312060 CRUCILANDIA";1
"312080 CRUZILIA";2
"312087 CURRAL DE DENTRO";1
"312090 CURVELO";15
"312100 DATAS";1
"312125 DELTA";3
"312130 DESCOBERTO";1
"312150 DESTERRO DO MELO";2
"312160 DIAMANTINA";4
"312200 DIVINO";4
"312230 DIVINOPOLIS";17
"312245 DIVISOPOLIS";1
"312260 DOM JOAQUIM";1
"312290 DONA EUSEBIA";4
"312300 DORES DE CAMPOS";3
"312352 DURANDE";1
"312360 ELOI MENDES";4
"312370 ENGENHEIRO CALDAS";2
"312390 ENTRE RIOS DE MINAS";3
"312400 ERVALIA";4
"312410 ESMERALDAS";11
"312420 ESPERA FELIZ";3
"312430 ESPINOSA";5
"312450 ESTIVA";1
"312460 ESTRELA DALVA";2
"312480 ESTRELA DO SUL";1
"312490 EUGENOPOLIS";1
"312500 EWBANK DA CAMARA";1
"312510 EXTREMA";13
"312560 FELISBURGO";1
"312570 FELIXLANDIA";2
"312580 FERNANDES TOURINHO";1
"312595 FERVEDOURO";1
"312600 FLORESTAL";4
"312610 FORMIGA";4
"312620 FORMOSO";2
"312660 FRANCISCO DUMONT";1
"312670 FRANCISCO SA";3
"312675 FRANCISCOPOLIS";1
"312680 FREI GASPAR";2
"312690 FREI INOCENCIO";4
"312695 FREI LAGONEGRO";1
"312700 FRONTEIRA";1
"312705 FRONTEIRA DOS VALES";3
"312710 FRUTAL";7
"312730 GALILEIA";1
"312737 GOIABEIRA";1
"312738 GOIANA";1
"312760 GOUVEIA";1
"312770 GOVERNADOR VALADARES";60
"312790 GRUPIARA";1
"312800 GUANHAES";5
"312810 GUAPE";2
"312820 GUARACIABA";1
"312825 GUARACIAMA";1
"312840 GUARANI";2
"312860 GUARDA-MOR";1
"312870 GUAXUPE";4
"312880 GUIDOVAL";1
"312890 GUIMARANIA";1
"312900 GUIRICEMA";1
"312930 IAPU";1
"312950 IBIA";1
"312965 IBIRACATU";2
"312980 IBIRITE";30
"312990 IBITIURA DE MINAS";1
"313005 ICARAI DE MINAS";2
"313010 IGARAPE";2
"313020 IGARATINGA";3
"313030 IGUATAMA";1
"313040 IJACI";4
"313050 ILICINEA";1
"313055 IMBE DE MINAS";1
"313060 INCONFIDENTES";1
"313065 INDAIABIRA";3
"313110 INIMUTABA";1
"313115 IPABA";2
"313120 IPANEMA";2
"313130 IPATINGA";22
"313140 IPIACU";1
"313150 IPUIUNA";2
"313160 IRAI DE MINAS";2
"313170 ITABIRA";12
"313180 ITABIRINHA";2
"313190 ITABIRITO";9
"313210 ITACARAMBI";4
"313220 ITAGUARA";1
"313230 ITAIPE";6
"313240 ITAJUBA";14
"313250 ITAMARANDIBA";5
"313270 ITAMBACURI";3
"313320 ITANHOMI";2
"313330 ITAOBIM";1
"313340 ITAPAGIPE";1
"313350 ITAPECERICA";2
"313360 ITAPEVA";1
"313375 ITAU DE MINAS";3
"313380 ITAUNA";14
"313390 ITAVERAVA";2
"313400 ITINGA";2
"313410 ITUETA";2
"313420 ITUIUTABA";13
"313440 ITURAMA";7
"313450 ITUTINGA";1
"313460 JABOTICATUBAS";1
"313480 JACUI";3
"313505 JAIBA";2
"313510 JANAUBA";6
"313520 JANUARIA";8
"313530 JAPARAIBA";2
"313540 JECEABA";1
"313545 JENIPAPO DE MINAS";2
"313550 JEQUERI";1
"313570 JEQUITIBA";3
"313580 JEQUITINHONHA";4
"313590 JESUANIA";2
"313600 JOAIMA";3
"313620 JOAO MONLEVADE";11
"313630 JOAO PINHEIRO";7
"313640 JOAQUIM FELICIO";1
"313650 JORDANIA";2
"313655 JOSE RAYDAN";2
"313657 JOSENOPOLIS";1
"313665 JUATUBA";7
"313670 JUIZ DE FORA";80
"313680 JURAMENTO";2
"313690 JURUAIA";1
"313700 LADAINHA";2
"313720 LAGOA DA PRATA";7
"313730 LAGOA DOS PATOS";1
"313750 LAGOA FORMOSA";2
"313753 LAGOA GRANDE";2
"313760 LAGOA SANTA";9
"313770 LAJINHA";2
"313790 LAMIM";2
"313810 LASSANCE";2
"313820 LAVRAS";12
"313830 LEANDRO FERREIRA";1
"313835 LEME DO PRADO";3
"313840 LEOPOLDINA";6
"313850 LIBERDADE";1
"313860 LIMA DUARTE";2
"313865 LONTRA";2
"313867 LUISBURGO";2
"313868 LUISLANDIA";3
"313880 LUZ";4
"313890 MACHACALIS";1
"313900 MACHADO";8
"313920 MALACACHETA";4
"313930 MANGA";4
"313940 MANHUACU";14
"313950 MANHUMIRIM";2
"313960 MANTENA";2
"313970 MARAVILHAS";1
"313980 MAR DE ESPANHA";5
"313990 MARIA DA FE";1
"314000 MARIANA";9
"314010 MARILAC";2
"314015 MARIO CAMPOS";1
"314050 MARTINHO CAMPOS";1
"314053 MARTINS SOARES";1
"314055 MATA VERDE";1
"314070 MATEUS LEME";6
"314080 MATIAS BARBOSA";2
"314085 MATIAS CARDOSO";2
"314090 MATIPO";6
"314100 MATO VERDE";1
"314110 MATOZINHOS";1
"314140 MEDINA";2
"314150 MENDES PIMENTEL";2
"314170 MESQUITA";2
"314180 MINAS NOVAS";3
"314190 MINDURI";1
"314200 MIRABELA";2
"314220 MIRAI";1
"314240 MOEMA";1
"314270 MONTALVANIA";3
"314280 MONTE ALEGRE DE MINAS";1
"314290 MONTE AZUL";3
"314310 MONTE CARMELO";6
"314320 MONTE SANTO DE MINAS";4
"314330 MONTES CLAROS";59
"314340 MONTE SIAO";2
"314345 MONTEZUMA";1
"314350 MORADA NOVA DE MINAS";2
"314390 MURIAE";11
"314400 MUTUM";5
"314410 MUZAMBINHO";1
"314430 NANUQUE";6
"314435 NAQUE";1
"314440 NATERCIA";1
"314450 NAZARENO";1
"314460 NEPOMUCENO";4
"314465 NINHEIRA";2
"314467 NOVA BELEM";3
"314470 NOVA ERA";3
"314480 NOVA LIMA";14
"314500 NOVA PONTE";1
"314505 NOVA PORTEIRINHA";1
"314510 NOVA RESENDE";1
"314520 NOVA SERRANA";17
"314530 NOVO CRUZEIRO";6
"314535 NOVO ORIENTE DE MINAS";1
"314540 OLARIA";1
"314550 OLIMPIO NORONHA";1
"314560 OLIVEIRA";4
"314587 ORIZANIA";1
"314590 OURO BRANCO";3
"314600 OURO FINO";1
"314610 OURO PRETO";9
"314620 OURO VERDE DE MINAS";2
"314630 PADRE PARAISO";6
"314675 PALMOPOLIS";1
"314690 PAPAGAIOS";3
"314700 PARACATU";14
"314710 PARA DE MINAS";11
"314720 PARAGUACU";2
"314730 PARAISOPOLIS";3
"314740 PARAOPEBA";1
"314790 PASSOS";21
"314800 PATOS DE MINAS";15
"314810 PATROCINIO";4
"314830 PAULA CANDIDO";1
"314840 PAULISTAS";1
"314850 PAVAO";1
"314860 PECANHA";5
"314870 PEDRA AZUL";2
"314875 PEDRA BONITA";1
"314880 PEDRA DO ANTA";2
"314915 PEDRAS DE MARIA DA CRUZ";1
"314930 PEDRO LEOPOLDO";16
"314940 PEDRO TEIXEIRA";1
"314950 PEQUERI";1
"314960 PEQUI";2
"314970 PERDIGAO";1
"314980 PERDIZES";4
"314990 PERDOES";4
"314995 PERIQUITO";1
"315010 PIAU";1
"315015 PIEDADE DE CARATINGA";6
"315050 PIMENTA";3
"315057 PINTOPOLIS";1
"315060 PIRACEMA";1
"315070 PIRAJUBA";1
"315080 PIRANGA";3
"315090 PIRANGUCU";1
"315120 PIRAPORA";3
"315130 PIRAUBA";3
"315140 PITANGUI";6
"315150 PIUMHI";6
"315180 POCOS DE CALDAS";21
"315190 POCRANE";3
"315200 POMPEU";3
"315210 PONTE NOVA";11
"315213 PONTO CHIQUE";1
"315217 PONTO DOS VOLANTES";1
"315220 PORTEIRINHA";1
"315240 POTE";4
"315250 POUSO ALEGRE";18
"315260 POUSO ALTO";2
"315270 PRADOS";2
"315280 PRATA";1
"315290 PRATAPOLIS";3
"315300 PRATINHA";2
"315320 PRESIDENTE JUSCELINO";1
"315330 PRESIDENTE KUBITSCHEK";1
"315340 PRESIDENTE OLEGARIO";1
"315360 PRUDENTE DE MORAIS";1
"315390 RAPOSOS";4
"315400 RAUL SOARES";1
"315410 RECREIO";2
"315415 REDUTO";1
"315420 RESENDE COSTA";1
"315430 RESPLENDOR";6
"315445 RIACHINHO";1
"315450 RIACHO DOS MACHADOS";2
"315460 RIBEIRAO DAS NEVES";49
"315490 RIO CASCA";3
"315500 RIO DOCE";1
"315530 RIO MANSO";1
"315540 RIO NOVO";3
"315550 RIO PARANAIBA";3
"315560 RIO PARDO DE MINAS";3
"315570 RIO PIRACICABA";5
"315580 RIO POMBA";3
"315600 RIO VERMELHO";2
"315630 RODEIRO";1
"315650 RUBELITA";1
"315660 RUBIM";1
"315670 SABARA";14
"315680 SABINOPOLIS";6
"315690 SACRAMENTO";6
"315700 SALINAS";7
"315710 SALTO DA DIVISA";2
"315720 SANTA BARBARA";3
"315725 SANTA BARBARA DO LESTE";2
"315727 SANTA BARBARA DO MONTE VERDE";1
"315740 SANTA CRUZ DO ESCALVADO";1
"315765 SANTA HELENA DE MINAS";2
"315780 SANTA LUZIA";32
"315790 SANTA MARGARIDA";4
"315800 SANTA MARIA DE ITABIRA";3
"315810 SANTA MARIA DO SALTO";1
"315830 SANTANA DA VARGEM";1
"315850 SANTANA DE PIRAPAMA";2
"315890 SANTANA DO MANHUACU";4
"315895 SANTANA DO PARAISO";4
"315900 SANTANA DO RIACHO";1
"315920 SANTA RITA DE CALDAS";2
"315935 SANTA RITA DE MINAS";1
"315950 SANTA RITA DO ITUETO";1
"315960 SANTA RITA DO SAPUCAI";5
"315980 SANTA VITORIA";3
"315990 SANTO ANTONIO DO AMPARO";2
"316000 SANTO ANTONIO DO AVENTUREIRO";1
"316010 SANTO ANTONIO DO GRAMA";1
"316030 SANTO ANTONIO DO JACINTO";1
"316040 SANTO ANTONIO DO MONTE";5
"316045 SANTO ANTONIO DO RETIRO";2
"316060 SANTO HIPOLITO";1
"316070 SANTOS DUMONT";5
"316100 SAO DOMINGOS DO PRATA";1
"316105 SAO FELIX DE MINAS";1
"316110 SAO FRANCISCO";6
"316130 SAO FRANCISCO DE SALES";2
"316140 SAO FRANCISCO DO GLORIA";1
"316165 SAO GERALDO DO BAIXIO";1
"316170 SAO GONCALO DO ABAETE";1
"316180 SAO GONCALO DO PARA";3
"316200 SAO GONCALO DO SAPUCAI";3
"316210 SAO GOTARDO";7
"316220 SAO JOAO BATISTA DO GLORIA";1
"316240 SAO JOAO DA PONTE";2
"316245 SAO JOAO DAS MISSOES";5
"316250 SAO JOAO DEL REI";4
"316255 SAO JOAO DO MANHUACU";2
"316257 SAO JOAO DO MANTENINHA";2
"316260 SAO JOAO DO ORIENTE";1
"316270 SAO JOAO DO PARAISO";3
"316280 SAO JOAO EVANGELISTA";6
"316290 SAO JOAO NEPOMUCENO";3
"316292 SAO JOAQUIM DE BICAS";8
"316294 SAO JOSE DA BARRA";2
"316295 SAO JOSE DA LAPA";2
"316320 SAO JOSE DO ALEGRE";2
"316330 SAO JOSE DO DIVINO";1
"316370 SAO LOURENCO";3
"316400 SAO PEDRO DOS FERROS";1
"316410 SAO PEDRO DO SUACUI";1
"316430 SAO ROQUE DE MINAS";1
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";1
"316447 SAO SEBASTIAO DO ANTA";2
"316450 SAO SEBASTIAO DO MARANHAO";1
"316460 SAO SEBASTIAO DO OESTE";1
"316470 SAO SEBASTIAO DO PARAISO";8
"316500 SAO TIAGO";4
"316520 SAO THOME DAS LETRAS";1
"316530 SAO VICENTE DE MINAS";2
"316553 SARZEDO";4
"316557 SENADOR AMARAL";1
"316570 SENADOR FIRMINO";2
"316590 SENADOR MODESTINO GONCALVES";3
"316600 SENHORA DE OLIVEIRA";2
"316620 SENHORA DOS REMEDIOS";1
"316640 SERITINGA";1
"316670 SERRA DOS AIMORES";2
"316680 SERRA DO SALITRE";1
"316710 SERRO";2
"316720 SETE LAGOAS";38
"316740 SILVIANOPOLIS";1
"316760 SIMONESIA";5
"316790 TABULEIRO";2
"316800 TAIOBEIRAS";8
"316805 TAPARUBA";1
"316840 TARUMIRIM";1
"316850 TEIXEIRAS";1
"316860 TEOFILO OTONI";28
"316870 TIMOTEO";5
"316900 TOCANTINS";1
"316920 TOMBOS";1
"316930 TRES CORACOES";18
"316935 TRES MARIAS";5
"316940 TRES PONTAS";11
"316960 TUPACIGUARA";2
"316970 TURMALINA";1
"316990 UBA";16
"317000 UBAI";1
"317005 UBAPORANGA";2
"317010 UBERABA";48
"317020 UBERLANDIA";72
"317040 UNAI";11
"317043 UNIAO DE MINAS";2
"317050 URUCANIA";2
"317052 URUCUIA";2
"317060 VARGEM BONITA";2
"317065 VARGEM GRANDE DO RIO PARDO";1
"317070 VARGINHA";23
"317075 VARJAO DE MINAS";1
"317080 VARZEA DA PALMA";7
"317090 VARZELANDIA";6
"317100 VAZANTE";2
"317120 VESPASIANO";26
"317130 VICOSA";5
"317170 VIRGINIA";1
"317180 VIRGINOPOLIS";1
"317190 VIRGOLANDIA";2
"317200 VISCONDE DO RIO BRANCO";11
" MUNICIPIO IGNORADO - ES";2
"320010 AFONSO CLAUDIO";2
"320013 AGUIA BRANCA";3
"320016 AGUA DOCE DO NORTE";3
"320020 ALEGRE";5
"320035 ALTO RIO NOVO";2
"320040 ANCHIETA";6
"320050 APIACA";1
"320060 ARACRUZ";14
"320070 ATILIO VIVACQUA";3
"320080 BAIXO GUANDU";1
"320090 BARRA DE SAO FRANCISCO";9
"320110 BOM JESUS DO NORTE";2
"320115 BREJETUBA";3
"320120 CACHOEIRO DE ITAPEMIRIM";38
"320130 CARIACICA";52
"320140 CASTELO";4
"320150 COLATINA";19
"320160 CONCEICAO DA BARRA";8
"320170 CONCEICAO DO CASTELO";3
"320180 DIVINO DE SAO LOURENCO";1
"320190 DOMINGOS MARTINS";5
"320210 ECOPORANGA";1
"320220 FUNDAO";1
"320230 GUACUI";6
"320240 GUARAPARI";17
"320245 IBATIBA";2
"320250 IBIRACU";1
"320255 IBITIRAMA";3
"320260 ICONHA";2
"320265 IRUPI";5
"320270 ITAGUACU";1
"320280 ITAPEMIRIM";3
"320290 ITARANA";2
"320300 IUNA";2
"320305 JAGUARE";6
"320310 JERONIMO MONTEIRO";3
"320313 JOAO NEIVA";3
"320320 LINHARES";38
"320332 MARATAIZES";3
"320334 MARECHAL FLORIANO";4
"320340 MIMOSO DO SUL";2
"320390 NOVA VENECIA";7
"320400 PANCAS";3
"320405 PEDRO CANARIO";4
"320410 PINHEIROS";5
"320420 PIUMA";2
"320425 PONTO BELO";3
"320430 PRESIDENTE KENNEDY";2
"320435 RIO BANANAL";3
"320450 SANTA LEOPOLDINA";1
"320455 SANTA MARIA DE JETIBA";16
"320460 SANTA TERESA";2
"320465 SAO DOMINGOS DO NORTE";1
"320470 SAO GABRIEL DA PALHA";4
"320490 SAO MATEUS";21
"320500 SERRA";77
"320501 SOORETAMA";9
"320503 VARGEM ALTA";6
"320510 VIANA";5
"320515 VILA PAVAO";1
"320517 VILA VALERIO";2
"320520 VILA VELHA";51
"320530 VITORIA";42
" MUNICIPIO IGNORADO - RJ";2
"330010 ANGRA DOS REIS";29
"330020 ARARUAMA";19
"330022 AREAL";2
"330023 ARMACAO DOS BUZIOS";4
"330025 ARRAIAL DO CABO";7
"330030 BARRA DO PIRAI";10
"330040 BARRA MANSA";26
"330045 BELFORD ROXO";90
"330050 BOM JARDIM";1
"330060 BOM JESUS DO ITABAPOANA";6
"330070 CABO FRIO";26
"330080 CACHOEIRAS DE MACACU";7
"330090 CAMBUCI";2
"330093 CARAPEBUS";2
"330095 COMENDADOR LEVY GASPARIAN";1
"330100 CAMPOS DOS GOYTACAZES";121
"330110 CANTAGALO";1
"330115 CARDOSO MOREIRA";2
"330120 CARMO";1
"330130 CASIMIRO DE ABREU";6
"330140 CONCEICAO DE MACABU";4
"330150 CORDEIRO";2
"330160 DUAS BARRAS";3
"330170 DUQUE DE CAXIAS";172
"330180 ENGENHEIRO PAULO DE FRONTIN";4
"330185 GUAPIMIRIM";7
"330187 IGUABA GRANDE";4
"330190 ITABORAI";25
"330200 ITAGUAI";17
"330210 ITAOCARA";3
"330220 ITAPERUNA";14
"330225 ITATIAIA";8
"330227 JAPERI";20
"330240 MACAE";47
"330245 MACUCO";1
"330250 MAGE";47
"330260 MANGARATIBA";7
"330270 MARICA";21
"330280 MENDES";2
"330285 MESQUITA";24
"330290 MIGUEL PEREIRA";2
"330300 MIRACEMA";1
"330310 NATIVIDADE";1
"330320 NILOPOLIS";33
"330330 NITEROI";59
"330340 NOVA FRIBURGO";13
"330350 NOVA IGUACU";157
"330360 PARACAMBI";1
"330370 PARAIBA DO SUL";6
"330380 PARATY";6
"330385 PATY DO ALFERES";4
"330390 PETROPOLIS";44
"330395 PINHEIRAL";2
"330400 PIRAI";4
"330410 PORCIUNCULA";3
"330412 QUATIS";3
"330414 QUEIMADOS";27
"330415 QUISSAMA";3
"330420 RESENDE";26
"330430 RIO BONITO";8
"330440 RIO CLARO";4
"330450 RIO DAS FLORES";1
"330452 RIO DAS OSTRAS";17
"330455 RIO DE JANEIRO";767
"330470 SANTO ANTONIO DE PADUA";5
"330475 SAO FRANCISCO DE ITABAPOANA";10
"330480 SAO FIDELIS";7
"330490 SAO GONCALO";110
"330500 SAO JOAO DA BARRA";5
"330510 SAO JOAO DE MERITI";83
"330513 SAO JOSE DE UBA";2
"330515 SAO JOSE DO VALE DO RIO PRETO";4
"330520 SAO PEDRO DA ALDEIA";17
"330530 SAO SEBASTIAO DO ALTO";1
"330540 SAPUCAIA";1
"330550 SAQUAREMA";10
"330555 SEROPEDICA";24
"330560 SILVA JARDIM";7
"330570 SUMIDOURO";5
"330575 TANGUA";3
"330580 TERESOPOLIS";22
"330600 TRES RIOS";15
"330610 VALENCA";7
"330615 VARRE-SAI";3
"330620 VASSOURAS";9
"330630 VOLTA REDONDA";35
" MUNICIPIO IGNORADO - SP";3
"350010 ADAMANTINA";4
"350030 AGUAI";3
"350040 AGUAS DA PRATA";1
"350050 AGUAS DE LINDOIA";1
"350070 AGUDOS";3
"350090 ALTAIR";1
"350100 ALTINOPOLIS";1
"350110 ALTO ALEGRE";2
"350115 ALUMINIO";2
"350130 ALVARES MACHADO";4
"350160 AMERICANA";23
"350170 AMERICO BRASILIENSE";5
"350190 AMPARO";7
"350200 ANALANDIA";1
"350210 ANDRADINA";5
"350220 ANGATUBA";3
"350230 ANHEMBI";2
"350240 ANHUMAS";1
"350250 APARECIDA";4
"350275 ARACARIGUAMA";5
"350280 ARACATUBA";28
"350300 ARAMINA";2
"350310 ARANDU";2
"350320 ARARAQUARA";16
"350330 ARARAS";14
"350340 AREALVA";2
"350360 AREIOPOLIS";2
"350380 ARTUR NOGUEIRA";2
"350390 ARUJA";8
"350400 ASSIS";12
"350410 ATIBAIA";16
"350420 AURIFLAMA";2
"350430 AVAI";3
"350440 AVANHANDAVA";1
"350450 AVARE";19
"350460 BADY BASSITT";3
"350510 BARBOSA";2
"350520 BARIRI";4
